MODIFIER_PATH	MODIFIER_CD	NAME_CHAR	VALTYPE_CD	STD_UNITS	VISIT_IND
\Events\Adverse Events\Nasal therapeutic procedures\Septoplasty\	MDR:10040098	Septoplasty	T		N
\Events\Adverse Events\Mineral and electrolyte analyses\Serum ferritin increased\	MDR:10040250	Serum ferritin increased	T		N
\Events\Adverse Events\Mineral and electrolyte analyses\Serum ferritin normal\	MDR:10040251	Serum ferritin normal	T		N
\Events\Adverse Events\Allergic conditions NEC\Serum sickness\	MDR:10040400	Serum sickness	T		N
\Events\Adverse Events\General signs and symptoms NEC\Serum sickness-like reaction\	MDR:10040402	Serum sickness-like reaction	T		N
\Events\Adverse Events\Criminal activity\Sexual abuse\	MDR:10040461	Sexual abuse	T		N
\Events\Adverse Events\Sexual arousal disorders\	MDR:10040466	Sexual arousal disorders	T		N
\Events\Adverse Events\Sexual desire disorders\	MDR:10040470	Sexual desire disorders	T		N
\Events\Adverse Events\Sexual dysfunction NEC\Sexual dysfunction\	MDR:10040477	Sexual dysfunction	T		N
\Events\Adverse Events\Sexual dysfunction NEC\	MDR:10040478	Sexual dysfunction NEC	T		N
\Events\Adverse Events\Sexuality issues\	MDR:10040489	Sexuality issues	T		N
\Events\Adverse Events\Infections NEC\Sexually transmitted disease\	MDR:10040490	Sexually transmitted disease	T		N
\Events\Adverse Events\Circulatory collapse and shock\Shock\	MDR:10040560	Shock	T		N
\Events\Adverse Events\Salivary gland infections and inflammations\Sialoadenitis\	MDR:10040628	Sialoadenitis	T		N
\Events\Adverse Events\Sickle cell trait and disorders\Sickle cell trait\	MDR:10040650	Sickle cell trait	T		N
\Events\Adverse Events\Sickle cell trait and disorders\	MDR:10040651	Sickle cell trait and disorders	T		N
\Events\Adverse Events\Reproductive tract signs and symptoms NEC\	MDR:10040674	Reproductive tract signs and symptoms NEC	T		N
\Events\Adverse Events\Breast disorders NEC\	MDR:10040675	Breast disorders NEC	T		N
\Events\Adverse Events\Imaging procedures NEC\Single photon emission computerised tomogram abnormal\	MDR:10040723	Single photon emission computerised tomogram abnormal	T		N
\Events\Adverse Events\Supraventricular arrhythmias\Sinus bradycardia\	MDR:10040741	Sinus bradycardia	T		N
\Events\Adverse Events\Paranasal sinus disorders (excl infections and neoplasms)\Sinus congestion\	MDR:10040742	Sinus congestion	T		N
\Events\Adverse Events\Paranasal sinus disorders (excl infections and neoplasms)\	MDR:10040743	Paranasal sinus disorders (excl infections and neoplasms)	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Sinus headache\	MDR:10040744	Sinus headache	T		N
\Events\Adverse Events\Headaches NEC\Sinus headache\	MDR:10040744	Sinus headache	T		N
\Events\Adverse Events\Supraventricular arrhythmias\Sinus tachycardia\	MDR:10040752	Sinus tachycardia	T		N
\Events\Adverse Events\Upper respiratory tract infections\Sinusitis\	MDR:10040753	Sinusitis	T		N
\Events\Adverse Events\Site specific injuries NEC\	MDR:10040759	Site specific injuries NEC	T		N
\Events\Adverse Events\Oral dryness and saliva altered\Sjogren's syndrome\	MDR:10040767	Sjogren's syndrome	T		N
\Events\Adverse Events\Skeletal and cardiac muscle analyses\	MDR:10040768	Skeletal and cardiac muscle analyses	T		N
\Events\Adverse Events\Skeletal cysts benign\	MDR:10040769	Skeletal cysts benign	T		N
\Events\Adverse Events\Musculoskeletal and soft tissue imaging procedures\Skeletal survey\	MDR:10040779	Skeletal survey	T		N
\Events\Adverse Events\Musculoskeletal and soft tissue imaging procedures\Skeletal survey normal\	MDR:10040781	Skeletal survey normal	T		N
\Events\Adverse Events\Skin structures and soft tissue infections\	MDR:10040786	Skin structures and soft tissue infections	T		N
\Events\Adverse Events\Skin and subcutaneous arthropod and parasitic infestations\	MDR:10040787	Skin and subcutaneous arthropod and parasitic infestations	T		N
\Events\Adverse Events\Skin and subcutaneous tissue bacterial infections\	MDR:10040788	Skin and subcutaneous tissue bacterial infections	T		N
\Events\Adverse Events\Skin and subcutaneous tissue fungal infections\	MDR:10040791	Skin and subcutaneous tissue fungal infections	T		N
\Events\Adverse Events\Skin and subcutaneous tissue infections NEC\	MDR:10040793	Skin and subcutaneous tissue infections NEC	T		N
\Events\Adverse Events\Skin and subcutaneous tissue ulcerations\	MDR:10040796	Skin and subcutaneous tissue ulcerations	T		N
\Events\Adverse Events\Skin and subcutaneous tissue viral infections\	MDR:10040797	Skin and subcutaneous tissue viral infections	T		N
\Events\Adverse Events\Skin injuries and mechanical dermatoses\Skin chapped\	MDR:10040813	Skin chapped	T		N
\Events\Adverse Events\Skin lesion excisions\Skin cyst excision\	MDR:10040819	Skin cyst excision	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin discolouration\	MDR:10040829	Skin discolouration	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin discomfort\	MDR:10040830	Skin discomfort	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin disorder\	MDR:10040831	Skin disorder	T		N
\Events\Adverse Events\Skin and subcutaneous tissue disorders congenital NEC\	MDR:10040834	Skin and subcutaneous tissue disorders congenital NEC	T		N
\Events\Adverse Events\Skin dystrophies\	MDR:10040837	Skin dystrophies	T		N
\Events\Adverse Events\Exfoliative conditions\Skin exfoliation\	MDR:10040844	Skin exfoliation	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin fissures\	MDR:10040849	Skin fissures	T		N
\Events\Adverse Events\Skin haemorrhages\	MDR:10040860	Skin haemorrhages	T		N
\Events\Adverse Events\Skin histopathology procedures\	MDR:10040862	Skin histopathology procedures	T		N
\Events\Adverse Events\Hyperpigmentation disorders\Skin hyperpigmentation\	MDR:10040865	Skin hyperpigmentation	T		N
\Events\Adverse Events\Skin hyperplasias and hypertrophies\	MDR:10040866	Skin hyperplasias and hypertrophies	T		N
\Events\Adverse Events\Skin hyperplasias and hypertrophies\Skin hypertrophy\	MDR:10040867	Skin hypertrophy	T		N
\Events\Adverse Events\Skin and subcutaneous tissue infections NEC\Skin infection\	MDR:10040872	Skin infection	T		N
\Events\Adverse Events\Skin injuries and mechanical dermatoses\	MDR:10040877	Skin injuries and mechanical dermatoses	T		N
\Events\Adverse Events\Dermatitis and eczema\Skin irritation\	MDR:10040880	Skin irritation	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin lesion\	MDR:10040882	Skin lesion	T		N
\Events\Adverse Events\Skin lesion excisions\	MDR:10040885	Skin lesion excisions	T		N
\Events\Adverse Events\Skin and subcutaneous malformations and anomalies NEC\	MDR:10040889	Skin and subcutaneous malformations and anomalies NEC	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin necrosis\	MDR:10040893	Skin necrosis	T		N
\Events\Adverse Events\Skin neoplasms benign\	MDR:10040898	Skin neoplasms benign	T		N
\Events\Adverse Events\Skin neoplasms malignant and unspecified (excl melanoma)\	MDR:10040901	Skin neoplasms malignant and unspecified (excl melanoma)	T		N
\Events\Adverse Events\Skin and subcutaneous conditions NEC\Skin nodule\	MDR:10040902	Skin nodule	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin odour abnormal\	MDR:10040904	Skin odour abnormal	T		N
\Events\Adverse Events\Skin neoplasms benign\Skin papilloma\	MDR:10040907	Skin papilloma	T		N
\Events\Adverse Events\Allergic conditions NEC\Skin reaction\	MDR:10040914	Skin reaction	T		N
\Events\Adverse Events\Immunology skin tests NEC\Skin test\	MDR:10040929	Skin test	T		N
\Events\Adverse Events\Immunology skin tests NEC\Skin test positive\	MDR:10040934	Skin test positive	T		N
\Events\Adverse Events\Peripheral vasoconstriction, necrosis and vascular insufficiency\Skin ulcer\	MDR:10040943	Skin ulcer	T		N
\Events\Adverse Events\Skin and subcutaneous tissue ulcerations\Skin ulcer\	MDR:10040943	Skin ulcer	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Skin warm\	MDR:10040952	Skin warm	T		N
\Events\Adverse Events\Skull and brain therapeutic procedures\	MDR:10040957	Skull and brain therapeutic procedures	T		N
\Events\Adverse Events\Skull fractures, facial bone fractures and dislocations\	MDR:10040961	Skull fractures, facial bone fractures and dislocations	T		N
\Events\Adverse Events\Musculoskeletal and soft tissue imaging procedures\Skull X-ray normal\	MDR:10040966	Skull X-ray normal	T		N
\Events\Adverse Events\Sleep apnoeas\	MDR:10040978	Sleep apnoeas	T		N
\Events\Adverse Events\Sleep apnoeas\Sleep apnoea syndrome\	MDR:10040979	Sleep apnoea syndrome	T		N
\Events\Adverse Events\Sleep disorders NEC\Sleep disorder\	MDR:10040984	Sleep disorder	T		N
\Events\Adverse Events\Sleep disorders NEC\	MDR:10040993	Sleep disorders NEC	T		N
\Events\Adverse Events\Sleep disturbances NEC\	MDR:10040996	Sleep disturbances NEC	T		N
\Events\Adverse Events\Narcolepsy and associated conditions\Sleep paralysis\	MDR:10041002	Sleep paralysis	T		N
\Events\Adverse Events\Sleep phase rhythm disturbances\	MDR:10041004	Sleep phase rhythm disturbances	T		N
\Events\Adverse Events\Parasomnias\Sleep terror\	MDR:10041010	Sleep terror	T		N
\Events\Adverse Events\Asthenic conditions\Sluggishness\	MDR:10041052	Sluggishness	T		N
\Events\Adverse Events\Small intestine therapeutic procedures\Small intestinal intussusception reduction\	MDR:10041099	Small intestinal intussusception reduction	T		N
\Events\Adverse Events\Duodenal and small intestinal stenosis and obstruction\Small intestinal obstruction\	MDR:10041101	Small intestinal obstruction	T		N
\Events\Adverse Events\Small intestine therapeutic procedures\Small intestinal resection\	MDR:10041105	Small intestinal resection	T		N
\Events\Adverse Events\Small intestine therapeutic procedures\	MDR:10041130	Small intestine therapeutic procedures	T		N
\Events\Adverse Events\Reproductive organ and breast histopathology procedures\Smear cervix\	MDR:10041205	Smear cervix	T		N
\Events\Adverse Events\Reproductive organ and breast histopathology procedures\Smear cervix abnormal\	MDR:10041206	Smear cervix abnormal	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Sneezing\	MDR:10041232	Sneezing	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Snoring\	MDR:10041235	Snoring	T		N
\Events\Adverse Events\Behaviour and socialisation disturbances\Social avoidant behaviour\	MDR:10041243	Social avoidant behaviour	T		N
\Events\Adverse Events\Social issues\	MDR:10041249	Social issues	T		N
\Events\Adverse Events\Fear symptoms and phobic disorders (incl social phobia)\Social phobia\	MDR:10041250	Social phobia	T		N
\Events\Adverse Events\Sodium imbalance\	MDR:10041273	Sodium imbalance	T		N
\Events\Adverse Events\Soft tissue disorders NEC\	MDR:10041288	Soft tissue disorders NEC	T		N
\Events\Adverse Events\Inflammations\Soft tissue inflammation\	MDR:10041290	Soft tissue inflammation	T		N
\Events\Adverse Events\Soft tissue disorders NEC\Soft tissue injury\	MDR:10041291	Soft tissue injury	T		N
\Events\Adverse Events\Soft tissue neoplasms benign NEC\	MDR:10041295	Soft tissue neoplasms benign NEC	T		N
\Events\Adverse Events\Somatoform disorders\Somatisation disorder\	MDR:10041318	Somatisation disorder	T		N
\Events\Adverse Events\Somatoform disorders\	MDR:10041326	Somatoform disorders	T		N
\Events\Adverse Events\Parasomnias\Somnambulism\	MDR:10041347	Somnambulism	T		N
\Events\Adverse Events\Dyssomnias\Somnolence\	MDR:10041349	Somnolence	T		N
\Events\Adverse Events\Specific cognitive ability disturbances\	MDR:10041427	Specific cognitive ability disturbances	T		N
\Events\Adverse Events\Urinalysis NEC\Specific gravity urine normal\	MDR:10041440	Specific gravity urine normal	T		N
\Events\Adverse Events\Speech and language abnormalities\	MDR:10041460	Speech and language abnormalities	T		N
\Events\Adverse Events\Speech and language usage disturbances\	MDR:10041461	Speech and language usage disturbances	T		N
\Events\Adverse Events\Speech articulation and rhythm disturbances\	MDR:10041462	Speech articulation and rhythm disturbances	T		N
\Events\Adverse Events\Speech and language usage disturbances\Speech disorder\	MDR:10041466	Speech disorder	T		N
\Events\Adverse Events\Speech and language abnormalities\Speech disorder developmental\	MDR:10041467	Speech disorder developmental	T		N
\Events\Adverse Events\Spinal cord and nerve root disorders NEC\Spinal column stenosis\	MDR:10041540	Spinal column stenosis	T		N
\Events\Adverse Events\Spinal fractures and dislocations\Spinal compression fracture\	MDR:10041541	Spinal compression fracture	T		N
\Events\Adverse Events\Spinal cord and nerve root disorders NEC\	MDR:10041544	Spinal cord and nerve root disorders NEC	T		N
\Events\Adverse Events\Spinal cord and nerve root disorders traumatic\	MDR:10041545	Spinal cord and nerve root disorders traumatic	T		N
\Events\Adverse Events\Spinal cord and nerve root disorders traumatic\Spinal cord injury\	MDR:10041552	Spinal cord injury	T		N
\Events\Adverse Events\Spinal cord and nerve root disorders traumatic\Spinal cord injury cervical\	MDR:10041554	Spinal cord injury cervical	T		N
\Events\Adverse Events\Spinal fractures and dislocations\Spinal fracture\	MDR:10041569	Spinal fracture	T		N
\Events\Adverse Events\Spinal fractures and dislocations\	MDR:10041574	Spinal fractures and dislocations	T		N
\Events\Adverse Events\Spine and spinal cord therapeutic procedures\	MDR:10041590	Spine and spinal cord therapeutic procedures	T		N
\Events\Adverse Events\Osteoarthropathies\Spinal osteoarthritis\	MDR:10041591	Spinal osteoarthritis	T		N
\Events\Adverse Events\Musculoskeletal and soft tissue imaging procedures\Spinal X-ray abnormal\	MDR:10041605	Spinal X-ray abnormal	T		N
\Events\Adverse Events\Spleen disorders\	MDR:10041635	Spleen disorders	T		N
\Events\Adverse Events\Lymphoid tissue therapeutic procedures\Splenectomy\	MDR:10041642	Splenectomy	T		N
\Events\Adverse Events\Spleen disorders\Splenic rupture\	MDR:10041658	Splenic rupture	T		N
\Events\Adverse Events\Non-site specific injuries NEC\Sports injury\	MDR:10041738	Sports injury	T		N
\Events\Adverse Events\Coughing and associated symptoms\Sputum discoloured\	MDR:10041807	Sputum discoloured	T		N
\Events\Adverse Events\Skin neoplasms malignant and unspecified (excl melanoma)\Squamous cell carcinoma of skin\	MDR:10041834	Squamous cell carcinoma of skin	T		N
\Events\Adverse Events\Staphylococcal infections\Staphylococcal abscess\	MDR:10041917	Staphylococcal abscess	T		N
\Events\Adverse Events\Staphylococcal infections\	MDR:10041925	Staphylococcal infections	T		N
\Events\Adverse Events\Abnormal behaviour NEC\Staring\	MDR:10041953	Staring	T		N
\Events\Adverse Events\Bronchospasm and obstruction\Status asthmaticus\	MDR:10041961	Status asthmaticus	T		N
\Events\Adverse Events\Seizures and seizure disorders NEC\Status epilepticus\	MDR:10041962	Status epilepticus	T		N
\Events\Adverse Events\Stereotypies and automatisms\	MDR:10042007	Stereotypies and automatisms	T		N
\Events\Adverse Events\Stereotypies and automatisms\Stereotypy\	MDR:10042008	Stereotypy	T		N
\Events\Adverse Events\Poisoning and toxicity\Stevens-Johnson syndrome\	MDR:10042033	Stevens-Johnson syndrome	T		N
\Events\Adverse Events\Stillbirth and foetal death\Stillbirth\	MDR:10042062	Stillbirth	T		N
\Events\Adverse Events\Stomatitis and ulceration\Stomatitis\	MDR:10042128	Stomatitis	T		N
\Events\Adverse Events\Stomatitis and ulceration\	MDR:10042129	Stomatitis and ulceration	T		N
\Events\Adverse Events\Ocular nerve and muscle disorders\Strabismus\	MDR:10042159	Strabismus	T		N
\Events\Adverse Events\Streptococcal infections\	MDR:10042180	Streptococcal infections	T		N
\Events\Adverse Events\Anxiety symptoms\Stress\	MDR:10042209	Stress	T		N
\Events\Adverse Events\Stress disorders\	MDR:10042211	Stress disorders	T		N
\Events\Adverse Events\Laryngeal spasm, oedema and obstruction\Stridor\	MDR:10042241	Stridor	T		N
\Events\Adverse Events\Structural and obstructive urethral disorders (excl congenital)\	MDR:10042256	Structural and obstructive urethral disorders (excl congenital)	T		N
\Events\Adverse Events\Structural and other bile duct disorders\	MDR:10042257	Structural and other bile duct disorders	T		N
\Events\Adverse Events\Structural brain disorders NEC\	MDR:10042259	Structural brain disorders NEC	T		N
\Events\Adverse Events\Nervous system haemorrhagic disorders\Subarachnoid haemorrhage\	MDR:10042316	Subarachnoid haemorrhage	T		N
\Events\Adverse Events\Skin and subcutaneous tissue infections NEC\Subcutaneous abscess\	MDR:10042343	Subcutaneous abscess	T		N
\Events\Adverse Events\Skin structures and soft tissue infections\Subcutaneous abscess\	MDR:10042343	Subcutaneous abscess	T		N
\Events\Adverse Events\Skin and subcutaneous conditions NEC\Subcutaneous nodule\	MDR:10042348	Subcutaneous nodule	T		N
\Events\Adverse Events\Skin and subcutaneous conditions NEC\	MDR:10042356	Skin and subcutaneous conditions NEC	T		N
\Events\Adverse Events\Cerebral injuries NEC\Subdural haematoma\	MDR:10042361	Subdural haematoma	T		N
\Events\Adverse Events\Cerebral injuries NEC\Subdural haemorrhage\	MDR:10042364	Subdural haemorrhage	T		N
\Events\Adverse Events\Ventricular arrhythmias and cardiac arrest\Sudden death\	MDR:10042434	Sudden death	T		N
\Events\Adverse Events\Death and sudden death\Sudden infant death syndrome\	MDR:10042440	Sudden infant death syndrome	T		N
\Events\Adverse Events\Sugar intolerance (excl glucose intolerance)\	MDR:10042454	Sugar intolerance (excl glucose intolerance)	T		N
\Events\Adverse Events\Suicidal and self-injurious behaviour\Suicidal ideation\	MDR:10042458	Suicidal ideation	T		N
\Events\Adverse Events\Suicidal and self-injurious behaviour\	MDR:10042459	Suicidal and self-injurious behaviour	T		N
\Events\Adverse Events\Suicidal and self-injurious behaviour\Suicide attempt\	MDR:10042464	Suicide attempt	T		N
\Events\Adverse Events\Skin injuries and mechanical dermatoses\Sunburn\	MDR:10042496	Sunburn	T		N
\Events\Adverse Events\Supraventricular arrhythmias\	MDR:10042600	Supraventricular arrhythmias	T		N
\Events\Adverse Events\Supraventricular arrhythmias\Supraventricular extrasystoles\	MDR:10042602	Supraventricular extrasystoles	T		N
\Events\Adverse Events\Supraventricular arrhythmias\Supraventricular tachycardia\	MDR:10042604	Supraventricular tachycardia	T		N
\Events\Adverse Events\Therapeutic procedures NEC\Surgery\	MDR:10042609	Surgery	T		N
\Events\Adverse Events\General signs and symptoms NEC\Swelling\	MDR:10042674	Swelling	T		N
\Events\Adverse Events\Dermal and epidermal conditions NEC\Swelling face\	MDR:10042682	Swelling face	T		N
\Events\Adverse Events\Tongue signs and symptoms\Swollen tongue\	MDR:10042727	Swollen tongue	T		N
\Events\Adverse Events\Autonomic nerve therapeutic procedures\Sympathectomy\	MDR:10042738	Sympathectomy	T		N
\Events\Adverse Events\Cardiac signs and symptoms NEC\Syncope\	MDR:10042772	Syncope	T		N
\Events\Adverse Events\Disturbances in consciousness NEC\Syncope\	MDR:10042772	Syncope	T		N
\Events\Adverse Events\Soft tissue neoplasms benign NEC\Synovial cyst\	MDR:10042858	Synovial cyst	T		N
\Events\Adverse Events\Synovial disorders\Synovial cyst\	MDR:10042858	Synovial cyst	T		N
\Events\Adverse Events\Synovial disorders\Synovitis\	MDR:10042868	Synovitis	T		N
\Events\Adverse Events\Lupus erythematosus and associated conditions\Systemic lupus erythematosus\	MDR:10042945	Systemic lupus erythematosus	T		N
\Events\Adverse Events\Leukaemias chronic T-cell\T-cell prolymphocytic leukaemia\	MDR:10042985	T-cell prolymphocytic leukaemia	T		N
\Events\Adverse Events\Rate and rhythm disorders NEC\Tachycardia\	MDR:10043071	Tachycardia	T		N
\Events\Adverse Events\Breathing abnormalities\Tachypnoea\	MDR:10043089	Tachypnoea	T		N
\Events\Adverse Events\Gastrointestinal infections, site unspecified\Taeniasis\	MDR:10043095	Taeniasis	T		N
\Events\Adverse Events\Taste disorders\	MDR:10043131	Taste disorders	T		N
\Events\Adverse Events\Mood alterations with depressive symptoms\Tearfulness\	MDR:10043169	Tearfulness	T		N
\Events\Adverse Events\Dental disorders NEC\Teething\	MDR:10043183	Teething	T		N
\Events\Adverse Events\Vasculitides\Temporal arteritis\	MDR:10043207	Temporal arteritis	T		N
\Events\Adverse Events\Joint related disorders NEC\Temporomandibular joint syndrome\	MDR:10043220	Temporomandibular joint syndrome	T		N
\Events\Adverse Events\Pain and discomfort NEC\Tenderness\	MDR:10043224	Tenderness	T		N
\Events\Adverse Events\Tendon disorders\	MDR:10043234	Tendon disorders	T		N
\Events\Adverse Events\Tendon disorders\Tendon disorder\	MDR:10043239	Tendon disorder	T		N
\Events\Adverse Events\Tendon disorders\Tendon injury\	MDR:10043242	Tendon injury	T		N
\Events\Adverse Events\Tendon therapeutic procedures\	MDR:10043243	Tendon therapeutic procedures	T		N
\Events\Adverse Events\Tendon disorders\Tendon rupture\	MDR:10043248	Tendon rupture	T		N
\Events\Adverse Events\Tendon therapeutic procedures\Tendon sheath lesion excision\	MDR:10043251	Tendon sheath lesion excision	T		N
\Events\Adverse Events\Tendon disorders\Tendonitis\	MDR:10043255	Tendonitis	T		N
\Events\Adverse Events\Tendon disorders\Tenosynovitis\	MDR:10043261	Tenosynovitis	T		N
\Events\Adverse Events\Anxiety symptoms\Tension\	MDR:10043268	Tension	T		N
\Events\Adverse Events\Headaches NEC\Tension headache\	MDR:10043269	Tension headache	T		N
\Events\Adverse Events\Testicular and epididymal disorders NEC\	MDR:10043296	Testicular and epididymal disorders NEC	T		N
\Events\Adverse Events\Testicular and epididymal disorders NEC\Testicular pain\	MDR:10043345	Testicular pain	T		N
\Events\Adverse Events\Testicular and epididymal disorders NEC\Testicular swelling\	MDR:10043354	Testicular swelling	T		N
\Events\Adverse Events\Muscle tone abnormal\Tetanus\	MDR:10043376	Tetanus	T		N
\Events\Adverse Events\Muscle related signs and symptoms NEC\Tetany\	MDR:10043380	Tetany	T		N
\Events\Adverse Events\Therapeutic and nontherapeutic responses\	MDR:10043409	Therapeutic and nontherapeutic responses	T		N
\Events\Adverse Events\Therapeutic bladder catheterisation\	MDR:10043410	Therapeutic bladder catheterisation	T		N
\Events\Adverse Events\Therapeutic drug monitoring analyses\	MDR:10043411	Therapeutic drug monitoring analyses	T		N
\Events\Adverse Events\Therapeutic and nontherapeutic responses\Therapeutic response decreased\	MDR:10043414	Therapeutic response decreased	T		N
\Events\Adverse Events\Thermal burns\	MDR:10043418	Thermal burns	T		N
\Events\Adverse Events\Thinking disturbances\Thinking abnormal\	MDR:10043431	Thinking abnormal	T		N
\Events\Adverse Events\Thinking disturbances\	MDR:10043434	Thinking disturbances	T		N
\Events\Adverse Events\General nutritional disorders NEC\Thirst\	MDR:10043458	Thirst	T		N
\Events\Adverse Events\Feelings and sensations NEC\Thirst\	MDR:10043458	Thirst	T		N
\Events\Adverse Events\Thoracic cage fractures and dislocations\	MDR:10043467	Thoracic cage fractures and dislocations	T		N
\Events\Adverse Events\Thoracic musculoskeletal disorders\	MDR:10043475	Thoracic musculoskeletal disorders	T		N
\Events\Adverse Events\Labour onset and length abnormalities\Threatened labour\	MDR:10043508	Threatened labour	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Throat irritation\	MDR:10043521	Throat irritation	T		N
\Events\Adverse Events\Oral soft tissue pain and paraesthesia\Throat irritation\	MDR:10043521	Throat irritation	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Throat tightness\	MDR:10043528	Throat tightness	T		N
\Events\Adverse Events\Secondary thrombocythaemias\Thrombocythaemia\	MDR:10043549	Thrombocythaemia	T		N
\Events\Adverse Events\Thrombocytopenias\Thrombocytopenia\	MDR:10043554	Thrombocytopenia	T		N
\Events\Adverse Events\Thrombocytopenias\	MDR:10043555	Thrombocytopenias	T		N
\Events\Adverse Events\Secondary thrombocythaemias\	MDR:10043564	Secondary thrombocythaemias	T		N
\Events\Adverse Events\Peripheral embolism and thrombosis\Thrombophlebitis\	MDR:10043570	Thrombophlebitis	T		N
\Events\Adverse Events\Non-site specific embolism and thrombosis\Thrombosis\	MDR:10043607	Thrombosis	T		N
\Events\Adverse Events\Thyroid analyses\	MDR:10043692	Thyroid analyses	T		N
\Events\Adverse Events\Thyroid neoplasms benign\Thyroid cyst\	MDR:10043706	Thyroid cyst	T		N
\Events\Adverse Events\Thyroid disorders NEC\	MDR:10043712	Thyroid disorders NEC	T		N
\Events\Adverse Events\Thyroid analyses\Thyroid function test\	MDR:10043729	Thyroid function test	T		N
\Events\Adverse Events\Thyroid analyses\Thyroid function test abnormal\	MDR:10043730	Thyroid function test abnormal	T		N
\Events\Adverse Events\Thyroid analyses\Thyroid function test normal\	MDR:10043731	Thyroid function test normal	T		N
\Events\Adverse Events\Thyroid hyperfunction disorders\	MDR:10043740	Thyroid hyperfunction disorders	T		N
\Events\Adverse Events\Thyroid hypofunction disorders\	MDR:10043741	Thyroid hypofunction disorders	T		N
\Events\Adverse Events\Thyroid neoplasms\Thyroid neoplasm\	MDR:10043744	Thyroid neoplasm	T		N
\Events\Adverse Events\Thyroid neoplasms\	MDR:10043747	Thyroid neoplasms	T		N
\Events\Adverse Events\Thyroid neoplasms benign\	MDR:10043748	Thyroid neoplasms benign	T		N
\Events\Adverse Events\Thyroid neoplasms malignant\	MDR:10043749	Thyroid neoplasms malignant	T		N
\Events\Adverse Events\Thyroid therapeutic procedures\	MDR:10043755	Thyroid therapeutic procedures	T		N
\Events\Adverse Events\Acute and chronic thyroiditis\Thyroiditis\	MDR:10043778	Thyroiditis	T		N
\Events\Adverse Events\Acute and chronic thyroiditis\	MDR:10043779	Acute and chronic thyroiditis	T		N
\Events\Adverse Events\Acute and chronic thyroiditis\Thyroiditis subacute\	MDR:10043784	Thyroiditis subacute	T		N
\Events\Adverse Events\Thyroid analyses\Thyroxine\	MDR:10043813	Thyroxine	T		N
\Events\Adverse Events\Thyroid analyses\Thyroxine normal\	MDR:10043820	Thyroxine normal	T		N
\Events\Adverse Events\Lower limb fractures and dislocations\Tibia fracture\	MDR:10043827	Tibia fracture	T		N
\Events\Adverse Events\Tic disorders\Tic\	MDR:10043833	Tic	T		N
\Events\Adverse Events\Tic disorders\	MDR:10043835	Tic disorders	T		N
\Events\Adverse Events\Tinea infections\Tinea cruris\	MDR:10043868	Tinea cruris	T		N
\Events\Adverse Events\Tinea infections\	MDR:10043870	Tinea infections	T		N
\Events\Adverse Events\Tinea infections\Tinea pedis\	MDR:10043873	Tinea pedis	T		N
\Events\Adverse Events\Inner ear signs and symptoms\Tinnitus\	MDR:10043882	Tinnitus	T		N
\Events\Adverse Events\Tissue enzyme analyses NEC\	MDR:10043891	Tissue enzyme analyses NEC	T		N
\Events\Adverse Events\Tongue signs and symptoms\Tongue blistering\	MDR:10043942	Tongue blistering	T		N
\Events\Adverse Events\Tongue signs and symptoms\Tongue coated\	MDR:10043945	Tongue coated	T		N
\Events\Adverse Events\Tongue signs and symptoms\Tongue discolouration\	MDR:10043949	Tongue discolouration	T		N
\Events\Adverse Events\Tongue disorders\Tongue disorder\	MDR:10043951	Tongue disorder	T		N
\Events\Adverse Events\Tongue disorders\	MDR:10043954	Tongue disorders	T		N
\Events\Adverse Events\Gastrointestinal haemorrhages\Tongue haematoma\	MDR:10043959	Tongue haematoma	T		N
\Events\Adverse Events\Tongue signs and symptoms\Tongue oedema\	MDR:10043967	Tongue oedema	T		N
\Events\Adverse Events\Tongue signs and symptoms\Tongue paralysis\	MDR:10043972	Tongue paralysis	T		N
\Events\Adverse Events\Tongue signs and symptoms\	MDR:10043985	Tongue signs and symptoms	T		N
\Events\Adverse Events\Pharyngeal disorders (excl infections and neoplasms)\Tonsillar hypertrophy\	MDR:10044003	Tonsillar hypertrophy	T		N
\Events\Adverse Events\Tonsillar therapeutic procedures\	MDR:10044005	Tonsillar therapeutic procedures	T		N
\Events\Adverse Events\Tonsillar therapeutic procedures\Tonsillectomy\	MDR:10044006	Tonsillectomy	T		N
\Events\Adverse Events\Upper respiratory tract infections\Tonsillitis\	MDR:10044008	Tonsillitis	T		N
\Events\Adverse Events\Streptococcal infections\Tonsillitis streptococcal\	MDR:10044013	Tonsillitis streptococcal	T		N
